SRC,TRG 
the zebras near the clever chickens hoped pres,the zebras near the clever chickens hope
near the badgers most zebras near the kindly zebra danced past,near the badgers most zebras near the kindly zebra danced
near the humble dogs the zebras hoped past,near the humble dogs the zebras hoped
the gentle zebra laughed pres,the gentle zebra laughs
with a zebra he danced past,with a zebra he danced
the chicken hoped past,the chicken hoped
the zebra danced past,the zebra danced
near the badger a zebra near the frogs burped past,near the badger a zebra near the frogs burped
with a lovely chicken a badger laughed pres,with a lovely chicken a badger laughs
he died past,he died
they laughed pres,they laugh
near most chickens the badgers burped pres,near most chickens the badgers burp
he hoped past,he hoped
they danced past,they danced
with a zebra a zebra laughed past,with a zebra a zebra laughed
near most zebras the gentle frogs hoped pres,near most zebras the gentle frogs hope
the zebra with a jocular zebra hoped past,the zebra with a jocular zebra hoped
most zebras with him danced past,most zebras with him danced
a zebra near the dogs danced pres,a zebra near the dogs dances
the zebra laughed pres,the zebra laughs
most zebras with the gentle badger laughed pres,most zebras with the gentle badger laugh
a zebra near the badgers with the badger with the kindly badgers hoped past,a zebra near the badgers with the badger with the kindly badgers hoped
a lovely zebra laughed past,a lovely zebra laughed
the badgers burped pres,the badgers burp
the lovely zebras laughed pres,the lovely zebras laugh
most dogs near a dog with the zebras with the zebras near him laughed pres,most dogs near a dog with the zebras with the zebras near him laugh
the zebras danced pres,the zebras dance
the dogs danced pres,the dogs dance
they coughed pres,they cough
they laughed past,they laughed
the badgers hoped pres,the badgers hope
the humble badgers laughed past,the humble badgers laughed
the dogs near the badger with her laughed past,the dogs near the badger with her laughed
the zebras danced pres,the zebras dance
the clever zebras danced pres,the clever zebras dance
the humble chickens laughed past,the humble chickens laughed
a clever zebra danced pres,a clever zebra dances
most zebras near the robins danced pres,most zebras near the robins dance
she burped pres,she burps
the badgers danced pres,the badgers dance
near the zebra the lovely gentle chicken laughed past,near the zebra the lovely gentle chicken laughed
a badger near most dogs laughed past,a badger near most dogs laughed
they laughed pres,they laugh
they coughed past,they coughed
the zebras near a robin with the zebra with a zebra hoped pres,the zebras near a robin with the zebra with a zebra hope
the badger laughed pres,the badger laughs
near most zebras with a zebra they danced pres,near most zebras with a zebra they dance
the zebras hoped past,the zebras hoped
they hoped past,they hoped
the zebra near a badger burped past,the zebra near a badger burped
a zebra with him coughed pres,a zebra with him coughs
she laughed past,she laughed
a dog burped past,a dog burped
the zebra died pres,the zebra dies
the jocular chickens coughed past,the jocular chickens coughed
the zebra near the gentle zebras laughed past,the zebra near the gentle zebras laughed
the gentle chickens hoped pres,the gentle chickens hope
the zebras hoped past,the zebras hoped
with them the zebras coughed pres,with them the zebras cough
a robin near a chicken hoped past,a robin near a chicken hoped
she hoped pres,she hopes
near them most badgers laughed past,near them most badgers laughed
the badgers coughed pres,the badgers cough
most zebras danced pres,most zebras dance
with them the robins laughed pres,with them the robins laugh
a badger coughed pres,a badger coughs
near the badger a gentle gentle badger laughed pres,near the badger a gentle gentle badger laughs
the chickens died pres,the chickens die
near her the zebra laughed pres,near her the zebra laughs
they danced pres,they dance
the zebras near a robin coughed pres,the zebras near a robin cough
near the zebra the clever zebra laughed pres,near the zebra the clever zebra laughs
the gentle zebras laughed pres,the gentle zebras laugh
they danced pres,they dance
she danced past,she danced
the dogs coughed past,the dogs coughed
a zebra with a zebra near most zebras laughed pres,a zebra with a zebra near most zebras laughs
the kindly humble zebra laughed pres,the kindly humble zebra laughs
a zebra laughed pres,a zebra laughs
he danced past,he danced
the dogs danced past,the dogs danced
the gentle zebras laughed pres,the gentle zebras laugh
near them they hoped past,near them they hoped
with a robin he danced pres,with a robin he dances
they hoped past,they hoped
he laughed past,he laughed
the dogs died pres,the dogs die
the zebras burped pres,the zebras burp
a robin near them laughed pres,a robin near them laughs
the humble zebras laughed past,the humble zebras laughed
they laughed pres,they laugh
the zebra laughed pres,the zebra laughs
a zebra laughed pres,a zebra laughs
she danced pres,she dances
the chickens laughed pres,the chickens laugh
she laughed past,she laughed
the dogs coughed past,the dogs coughed
the robins hoped pres,the robins hope
with the dog near the dogs she laughed pres,with the dog near the dogs she laughs
the robin laughed pres,the robin laughs
the badgers near the dog danced pres,the badgers near the dog dance
a gentle zebra laughed pres,a gentle zebra laughs
with a zebra a zebra laughed past,with a zebra a zebra laughed
they danced past,they danced
the badgers burped past,the badgers burped
the chickens near a dog coughed pres,the chickens near a dog cough
the zebras laughed past,the zebras laughed
the robin danced pres,the robin dances
the lovely zebras laughed past,the lovely zebras laughed
a gentle badger danced past,a gentle badger danced
the badgers laughed pres,the badgers laugh
most humble zebras hoped past,most humble zebras hoped
the chickens danced pres,the chickens dance
the zebras near the zebras died pres,the zebras near the zebras die
